Created At,Temperature,Humidity,Rain,Light,Air Quality
2023-11-07 05:23:51+00:00,1.0,0.0,1.0,0.7837837837837838,0.7000000000000001
2023-11-07 05:24:35+00:00,0.7368421052631575,0.25,1.0,0.8918918918918919,0.7000000000000001
2023-11-07 05:24:35+00:00,0.7368421052631575,0.25,1.0,0.8918918918918919,0.7000000000000001
2023-11-07 05:24:35+00:00,0.7368421052631575,0.25,1.0,0.8918918918918919,0.7000000000000001
2023-11-07 05:24:35+00:00,0.7368421052631575,0.25,1.0,0.8918918918918919,0.7000000000000001
2023-11-07 05:24:35+00:00,0.7368421052631575,0.25,1.0,0.8918918918918919,0.7000000000000001
2023-11-07 05:24:35+00:00,0.7368421052631575,0.25,1.0,0.8918918918918919,0.7000000000000001
2023-11-07 05:25:05+00:00,0.7368421052631575,0.25,1.0,0.0,0.0
2023-11-07 05:25:05+00:00,0.7368421052631575,0.25,1.0,0.0,0.0
2023-11-07 05:25:21+00:00,0.7368421052631575,0.75,1.0,0.5405405405405406,1.0
2023-11-07 05:25:21+00:00,0.7368421052631575,0.75,1.0,0.5405405405405406,1.0
2023-11-07 05:25:21+00:00,0.7368421052631575,0.75,1.0,0.5405405405405406,1.0
2023-11-07 05:25:21+00:00,0.7368421052631575,0.75,1.0,0.5405405405405406,1.0
2023-11-07 05:25:21+00:00,0.7368421052631575,0.75,1.0,0.5405405405405406,1.0
2023-11-07 05:25:21+00:00,0.7368421052631575,0.75,1.0,0.5405405405405406,1.0
2023-11-07 05:25:21+00:00,0.7368421052631575,0.75,1.0,0.5405405405405406,1.0
2023-11-07 05:25:21+00:00,0.7368421052631575,0.75,1.0,0.5405405405405406,1.0
2023-11-07 05:25:21+00:00,0.7368421052631575,0.75,1.0,0.5405405405405406,1.0
2023-11-07 05:25:21+00:00,0.7368421052631575,0.75,1.0,0.5405405405405406,1.0
2023-11-07 05:26:23+00:00,0.526315789473685,0.25,0.00721500721500723,0.7567567567567568,0.7000000000000001
2023-11-07 05:26:23+00:00,0.526315789473685,0.25,0.00721500721500723,0.7567567567567568,0.7000000000000001
2023-11-07 05:26:23+00:00,0.526315789473685,0.25,0.00721500721500723,0.7567567567567568,0.7000000000000001
2023-11-07 05:26:23+00:00,0.526315789473685,0.25,0.00721500721500723,0.7567567567567568,0.7000000000000001
2023-11-07 05:26:23+00:00,0.526315789473685,0.25,0.00721500721500723,0.7567567567567568,0.7000000000000001
2023-11-07 05:26:23+00:00,0.526315789473685,0.25,0.00721500721500723,0.7567567567567568,0.7000000000000001
2023-11-07 05:26:23+00:00,0.526315789473685,0.25,0.00721500721500723,0.7567567567567568,0.7000000000000001
2023-11-07 05:26:23+00:00,0.526315789473685,0.25,0.00721500721500723,0.7567567567567568,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
2023-11-07 05:27:09+00:00,0.526315789473685,0.25,0.0,0.3513513513513513,0.7000000000000001
